nrow,ncol,intensity
9,44,0.008284
9,45,0.008284
9,46,0.005523
9,47,0.002761
9,48,0.000000
9,49,0.044329
10,0,0.132987
10,1,0.286902
10,2,0.323703
10,3,0.498975
10,4,0.231831
10,5,0.062786
10,6,0.000000
10,7,0.000000
10,8,0.000000
10,9,0.000000
10,10,0.061707
10,11,0.123169
10,12,0.247040
10,13,0.348375
10,14,0.368697
10,15,0.253128
10,16,0.070374
10,17,0.000000
10,18,0.000000
10,19,0.000000
10,20,0.018205
10,21,0.290316
10,22,1.070126
10,23,0.414700
10,24,0.139775
10,25,0.002647
10,26,0.002854
10,27,0.003754
10,28,0.011388
10,29,0.012257
10,30,0.014509
10,31,0.014975
10,32,0.011622
10,33,0.010204
10,34,0.006462
10,35,0.007244
10,36,0.008155
10,37,0.007305
10,38,0.008265
10,39,0.020579
10,40,0.018708
10,41,0.026192
10,42,0.027973
10,43,0.019505
10,44,0.013807
10,45,0.016568
10,46,0.011045
10,47,0.005523
10,48,0.002761
10,49,0.044329
11,0,0.181225
11,1,0.350787
11,2,0.649440
11,3,0.553027
11,4,0.213324
11,5,0.000000
11,6,0.000000
11,7,0.000000
11,8,0.000000
11,9,0.000000
11,10,0.000000
11,11,0.003742
11,12,0.197884
11,13,0.463673
11,14,0.499027
11,15,0.298176
11,16,0.052710
11,17,0.052710
11,18,0.058733
11,19,0.175400
11,20,0.311526
11,21,0.667399
11,22,0.503842
11,23,0.544708
11,24,0.549101
11,25,0.278220
11,26,0.138335
11,27,0.003050
11,28,0.007876
11,29,0.020272
11,30,0.014287
11,31,0.019594
11,32,0.019353
11,33,0.011029
11,34,0.004426
11,35,0.002345
11,36,0.005472
11,37,0.005472
11,38,0.006087
11,39,0.008265
11,40,0.013096
11,41,0.012291
11,42,0.017360
11,43,0.011572
11,44,0.002937
11,45,0.002761
11,46,0.005523
11,47,0.013807
11,48,0.145181
11,49,0.139658
12,0,1.076849
12,1,0.664535
12,2,0.780247
12,3,0.518118
12,4,0.127994
12,5,0.000000
12,6,0.000000
12,7,0.000000
12,8,0.000000
12,9,0.000000
12,10,0.000000
12,11,0.000000
12,12,0.095986
12,13,0.374556
12,14,0.757911
12,15,0.364639
12,16,0.154755
12,17,0.155947
12,18,0.120624
12,19,0.143559
12,20,0.374338
12,21,0.690990
12,22,0.478400
12,23,0.391604
12,24,0.545240
12,25,0.545576
12,26,0.137892
12,27,0.006619
12,28,0.012185
12,29,0.018160
12,30,0.010053
12,31,0.010740
12,32,0.016343
12,33,0.018378
12,34,0.007262
12,35,0.005432
12,36,0.003909
12,37,0.003909
12,38,0.003127
12,39,0.006394
12,40,0.009354
12,41,0.006679
12,42,0.013618
12,43,0.011747
12,44,0.002937
12,45,0.000000
12,46,0.002761
12,47,0.005523
12,48,0.013807
12,49,0.282077
13,0,0.544076
13,1,0.268270
13,2,0.670676
13,3,0.664535
13,4,0.268270
13,5,0.134135
13,6,0.000000
13,7,0.000000
13,8,0.000000
13,9,0.000000
13,10,0.003742
13,11,0.007483
13,12,0.018708
13,13,0.229946
13,14,0.513357
13,15,0.402567
13,16,0.192051
13,17,0.118241
13,18,0.144836
13,19,0.137621
13,20,0.299758
13,21,0.499739
13,22,0.255107
13,23,0.076675
13,24,0.272619
13,25,0.682790
13,26,0.414456
13,27,0.147718
13,28,0.014037
13,29,0.007775
13,30,0.007360
13,31,0.004398
13,32,0.007714
13,33,0.011864
13,34,0.014231
13,35,0.010823
13,36,0.003391
13,37,0.002345
13,38,0.005780
13,39,0.009047
13,40,0.007176
13,41,0.001871
13,42,0.033362
13,43,0.066812
13,44,0.084065
13,45,0.081128
13,46,0.080953
13,47,0.190893
13,48,0.306356
13,49,0.703322
14,0,0.273907
14,1,0.272038
14,2,0.268270
14,3,0.536541
14,4,0.536541
14,5,0.134135
14,6,0.000000
14,7,0.000000
14,8,0.000000
14,9,0.000000
14,10,0.000000
14,11,0.011225
14,12,0.018708
14,13,0.104822
14,14,0.284140
14,15,0.553804
14,16,0.332143
14,17,0.190308
14,18,0.098018
14,19,0.169754
14,20,0.339656
14,21,0.530837
14,22,0.264537
14,23,0.087510
14,24,0.136130
14,25,0.537868
14,26,0.560515
14,27,0.155891
14,28,0.005748
14,29,0.004319
14,30,0.006083
14,31,0.004398
14,32,0.005084
14,33,0.009088
14,34,0.008673
14,35,0.009920
14,36,0.005219
14,37,0.003127
14,38,0.006254
14,39,0.010918
14,40,0.005612
14,41,0.004808
14,42,0.033362
14,43,0.091275
14,44,0.159232
14,45,0.146420
14,46,0.188585
14,47,0.251858
14,48,0.606765
14,49,0.547814
15,0,0.000000
15,1,0.000000
15,2,0.000000
15,3,0.178847
15,4,0.581253
15,5,0.491829
15,6,0.223559
15,7,0.089423
15,8,0.000000
15,9,0.000000
15,10,0.000000
15,11,0.011225
15,12,0.018708
15,13,0.007483
15,14,0.089463
15,15,0.166819
15,16,0.323862
15,17,0.483280
15,18,0.439415
15,19,0.517501
15,20,0.345715
15,21,0.170012
15,22,0.076675
15,23,0.000000
15,24,0.000000
15,25,0.392526
15,26,0.681917
15,27,0.301515
15,28,0.150736
15,29,0.013377
15,30,0.005069
15,31,0.003041
15,32,0.002370
15,33,0.007714
15,34,0.011386
15,35,0.014156
15,36,0.007317
15,37,0.004690
15,38,0.011392
15,39,0.006869
15,40,0.001871
15,41,0.043433
15,42,0.114355
15,43,0.185744
15,44,0.119381
15,45,0.096606
15,46,0.184323
15,47,0.384002
15,48,0.555567
15,49,0.231790
16,0,0.000000
16,1,0.000000
16,2,0.000000
16,3,0.134135
16,4,0.357694
16,5,0.536541
16,6,0.491829
16,7,0.178847
16,8,0.089423
16,9,0.000000
16,10,0.003742
16,11,0.008045
16,12,0.019270
16,13,0.010663
16,14,0.000000
16,15,0.070206
16,16,0.145313
16,17,0.221783
16,18,0.230883
16,19,0.234835
16,20,0.160630
16,21,0.079250
16,22,0.001116
16,23,0.000000
16,24,0.128762
16,25,0.380531
16,26,0.764358
16,27,0.336268
16,28,0.041908
16,29,0.001014
16,30,0.003041
16,31,0.006083
16,32,0.004398
16,33,0.003727
16,34,0.011529
16,35,0.151331
16,36,0.269966
16,37,0.400512
16,38,0.269848
16,39,0.135078
16,40,0.045304
