nrow,ncol,intensity
20,10,0.001304
20,11,0.001393
20,12,0.003104
20,13,0.008170
20,14,0.003904
20,15,0.000000
20,16,0.000000
20,17,0.000000
20,18,0.009354
20,19,0.018708
20,20,0.004677
20,21,0.000000
20,22,0.005000
20,23,0.012500
20,24,0.005000
20,25,0.005000
20,26,0.030927
20,27,0.099981
20,28,0.183974
20,29,0.270626
20,30,0.043138
20,31,0.000000
20,32,0.000000
20,33,0.000000
20,34,0.000000
20,35,0.123280
20,36,0.380737
20,37,0.407717
20,38,0.216826
20,39,0.203162
21,0,0.000000
21,1,0.000561
21,2,0.003750
21,3,0.003750
21,4,0.000561
21,5,0.000000
21,6,0.000000
21,7,0.003845
21,8,0.008109
21,9,0.003128
21,10,0.001535
21,11,0.001607
21,12,0.003298
21,13,0.008466
21,14,0.003248
21,15,0.000000
21,16,0.000000
21,17,0.000000
21,18,0.009354
21,19,0.023642
21,20,0.005352
21,21,0.003175
21,22,0.010359
21,23,0.005000
21,24,0.000000
21,25,0.000000
21,26,0.000000
21,27,0.032791
21,28,0.080046
21,29,0.088785
21,30,0.046273
21,31,0.001159
21,32,0.000000
21,33,0.000000
21,34,0.000000
21,35,0.000000
21,36,0.127426
21,37,0.521154
21,38,0.315715
21,39,0.078242
22,0,0.000000
22,1,0.000000
22,2,0.001939
22,3,0.004501
22,4,0.002310
22,5,0.002403
22,6,0.003953
22,7,0.009991
22,8,0.005422
22,9,0.001791
22,10,0.001706
22,11,0.001811
22,12,0.003272
22,13,0.006608
22,14,0.002488
22,15,0.000000
22,16,0.000000
22,17,0.000000
22,18,0.009687
22,19,0.019892
22,20,0.006365
22,21,0.003747
22,22,0.011038
22,23,0.004417
22,24,0.000000
22,25,0.000000
22,26,0.000000
22,27,0.000934
22,28,0.008552
22,29,0.010617
22,30,0.007230
22,31,0.003313
22,32,0.000741
22,33,0.000000
22,34,0.000000
22,35,0.000000
22,36,0.000000
22,37,0.260030
22,38,0.535726
22,39,0.238571
23,0,0.000000
23,1,0.000000
23,2,0.000689
23,3,0.002690
23,4,0.004408
23,5,0.005093
23,6,0.010921
23,7,0.006707
23,8,0.003989
23,9,0.002050
23,10,0.001949
23,11,0.002009
23,12,0.002042
23,13,0.004522
23,14,0.003370
23,15,0.000000
23,16,0.005054
23,17,0.010157
23,18,0.025000
23,19,0.011104
23,20,0.001399
23,21,0.003093
23,22,0.008321
23,23,0.003611
23,24,0.000000
23,25,0.000000
23,26,0.000000
23,27,0.001675
23,28,0.006204
23,29,0.006487
23,30,0.005636
23,31,0.005194
23,32,0.001675
23,33,0.000000
23,34,0.000000
23,35,0.000000
23,36,0.000000
23,37,0.128745
23,38,0.526139
23,39,0.437766
24,0,0.000000
24,1,0.000000
24,2,0.000000
24,3,0.000751
24,4,0.004427
24,5,0.006194
24,6,0.008988
24,7,0.007158
24,8,0.004529
24,9,0.003152
24,10,0.001882
24,11,0.002506
24,12,0.003049
24,13,0.005072
24,14,0.001982
24,15,0.005156
24,16,0.015425
24,17,0.020854
24,18,0.011066
24,19,0.006259
24,20,0.001426
24,21,0.002954
24,22,0.007536
24,23,0.003611
24,24,0.000000
24,25,0.000000
24,26,0.000000
24,27,0.002255
24,28,0.004614
24,29,0.005056
24,30,0.005328
24,31,0.004915
24,32,0.003414
24,33,0.000580
24,34,0.000000
24,35,0.000000
24,36,0.000000
24,37,0.000000
24,38,0.389965
24,39,0.632280
25,0,0.000000
25,1,0.000000
25,2,0.000000
25,3,0.000000
25,4,0.002425
25,5,0.006759
25,6,0.008578
25,7,0.013710
25,8,0.007522
25,9,0.005259
25,10,0.003884
25,11,0.004294
25,12,0.003852
25,13,0.001870
25,14,0.003693
25,15,0.013311
25,16,0.018549
25,17,0.006395
25,18,0.001520
25,19,0.001606
25,20,0.001681
25,21,0.004334
25,22,0.006243
25,23,0.001695
25,24,0.000000
25,25,0.000000
25,26,0.000000
25,27,0.001321
25,28,0.004246
25,29,0.005087
25,30,0.005423
25,31,0.005087
25,32,0.004246
25,33,0.001321
25,34,0.000000
25,35,0.000000
25,36,0.000000
25,37,0.000000
25,38,0.257457
25,39,0.819694
26,0,0.000000
26,1,0.000000
26,2,0.000000
26,3,0.000000
26,4,0.003065
26,5,0.009198
26,6,0.009498
26,7,0.008837
26,8,0.005742
26,9,0.003182
26,10,0.002969
26,11,0.001870
26,12,0.000883
26,13,0.001395
26,14,0.007568
26,15,0.017055
26,16,0.011640
26,17,0.002514
26,18,0.001743
26,19,0.001788
26,20,0.001817
26,21,0.004937
26,22,0.003750
26,23,0.000000
26,24,0.000000
26,25,0.000000
26,26,0.000000
26,27,0.000580
26,28,0.003414
26,29,0.004915
26,30,0.005328
26,31,0.005056
26,32,0.004614
26,33,0.002255
26,34,0.000000
26,35,0.000000
26,36,0.000000
26,37,0.000000
26,38,0.127426
26,39,0.203882
27,0,0.000832
27,1,0.000832
27,2,0.002356
27,3,0.003848
27,4,0.007071
27,5,0.009248
27,6,0.011792
27,7,0.010418
27,8,0.009649
27,9,0.001095
27,10,0.002500
27,11,0.002500
27,12,0.002500
27,13,0.001395
27,14,0.012161
27,15,0.013601
27,16,0.008739
27,17,0.004064
27,18,0.001826
27,19,0.001817
27,20,0.001788
27,21,0.003425
27,22,0.003604
27,23,0.000652
27,24,0.165350
27,25,0.165350
27,26,0.165350
27,27,0.000000
27,28,0.001675
27,29,0.005194
27,30,0.005636
27,31,0.006487
27,32,0.006204
27,33,0.001675
27,34,0.000000
27,35,0.000000
27,36,0.040133
27,37,0.087460
27,38,0.142710
27,39,0.164123
28,0,0.001712
28,1,0.001708
28,2,0.004407
28,3,0.007924
28,4,0.003536
28,5,0.003837
28,6,0.004516
28,7,0.014832
28,8,0.012665
28,9,0.006095
28,10,0.010000
28,11,0.012500
28,12,0.010000
28,13,0.006395
28,14,0.013032
28,15,0.012555
28,16,0.008773
28,17,0.005732
28,18,0.001743
28,19,0.001681
28,20,0.001606
28,21,0.002084
28,22,0.168478
28,23,0.331813
28,24,0.661400
28,25,0.826750
28,26,0.661400
28,27,0.330700
28,28,0.166091
28,29,0.003313
28,30,0.007230
28,31,0.010617
28,32,0.008552
28,33,0.000934
28,34,0.035772
28,35,0.078218
28,36,0.168242
28,37,0.306912
28,38,0.299010
28,39,0.387079
29,0,0.002083
29,1,0.002814
29,2,0.005649
29,3,0.002621
29,4,0.000000
29,5,0.000000
29,6,0.000000
29,7,0.007500
29,8,0.020000
29,9,0.012795
29,10,0.005000
29,11,0.005000
29,12,0.005000
29,13,0.012500
29,14,0.013386
29,15,0.013567
29,16,0.010895
29,17,0.007061
29,18,0.002103
29,19,0.001426
29,20,0.001326
29,21,0.001224
29,22,0.332558
29,23,0.827734
29,24,0.330700
29,25,0.330700
29,26,0.330700
29,27,0.742706
29,28,0.414744
